import time: self [us] | cumulative | imported package
import time:     11632 |      66260 |     torch.distributions.kl
import time:     11128 |      11128 |     torch.distributions.kumaraswamy
import time:      9299 |       9299 |     torch.distributions.lkj_cholesky
import time:     11300 |      11300 |     torch.distributions.log_normal
import time:     10996 |      10996 |     torch.distributions.logistic_normal
import time:     10098 |      10098 |     torch.distributions.mixture_same_family
import time:     11489 |      11489 |     torch.distributions.multinomial
import time:      9260 |       9260 |     torch.distributions.negative_binomial
import time:     10010 |      10010 |     torch.distributions.relaxed_bernoulli
import time:      9896 |       9896 |     torch.distributions.relaxed_categorical
import time:     10603 |      10603 |     torch.distributions.studentT
import time:     10124 |      10124 |           torch.jit._builtins
import time:     16178 |      26301 |         torch.jit._async
import time:      9354 |       9354 |         torch.jit._await
import time:     11367 |      11367 |         torch.jit._decomposition_utils
import time:      6172 |       6172 |             torch._classes
import time:      8089 |       8089 |             torch.jit._fuser
import time:       830 |        830 |               monkeytype
import time:      8897 |       9727 |             torch.jit._monkeytype_config
import time:      9040 |       9040 |               torch.jit._check
import time:      7498 |       7498 |               torch.jit._state
import time:      8126 |       8126 |                 torch.jit.annotations
import time:      7915 |       7915 |                 torch.jit._dataclass_impls
import time:       529 |        529 |                 astunparse
import time:      8708 |      25276 |               torch.jit.frontend
import time:      8679 |      50490 |             torch.jit._recursive
import time:      7816 |       7816 |             torch.jit._serialization
import time:     10679 |      92971 |           torch.jit._script
import time:     11898 |     104868 |         torch.jit._freeze
import time:      8286 |       8286 |         torch.jit._ir_utils
import time:      9682 |       9682 |         torch.jit._trace
import time:     12240 |     182096 |       torch.jit
import time:      8805 |     190900 |     torch.distributions.von_mises
import time:      6929 |       6929 |     torch.distributions.weibull
import time:      8743 |       8743 |     torch.distributions.wishart
import time:     21139 |     653378 |   torch.distributions
import time:      9563 |       9563 |   torch.fft
import time:       733 |        733 |       _uuid
import time:      1606 |       2338 |     uuid
import time:      1033 |       1033 |     zipfile
import time:       395 |        395 |       urllib.response
import time:       574 |        968 |     urllib.error
import time:       640 |        640 |       email
import time:       813 |        813 |         http
import time:      1043 |       1043 |             email.errors
import time:       244 |        244 |                 email.quoprimime
import time:       165 |        165 |                 email.base64mime
import time:       538 |        538 |                     quopri
import time:       346 |        884 |                   email.encoders
import time:       574 |       1457 |                 email.charset
import time:      2040 |       3904 |               email.header
import time:       595 |        595 |                   calendar
import time:       391 |        985 |                 email._parseaddr
import time:       575 |       1560 |               email.utils
import time:       747 |       6210 |             email._policybase
import time:       984 |       8236 |           email.feedparser
import time:       442 |       8678 |         email.parser
import time:       243 |        243 |           email._encoded_words
import time:       232 |        232 |           email.iterators
import time:      1348 |       1822 |         email.message
import time:      1599 |       1599 |           _ssl
import time:      2107 |       3706 |         ssl
import time:      1703 |      16720 |       http.client
import time:      3320 |      20678 |     urllib.request
import time:     11830 |      11830 |       tqdm._monitor
import time:      7884 |       7884 |       tqdm._tqdm_pandas
import time:       112 |        112 |             unicodedata
import time:      7779 |       7891 |           tqdm.utils
import time:     10688 |      18578 |         tqdm.std
import time:      7148 |       7148 |           tqdm._dist_ver
import time:      7803 |      14951 |         tqdm.version
import time:      8282 |      41810 |       tqdm.cli
import time:      7327 |       7327 |       tqdm.gui
import time:     11165 |      80014 |     tqdm
import time:      8267 |     113295 |   torch.hub
import time:     10535 |      10535 |   torch.linalg
import time:     12519 |      12519 |     torch.mps.profiler
import time:      6070 |       6070 |     torch.mps.event
import time:     10760 |      29347 |   torch.mps
import time:     13202 |      13202 |     torch.mtia._utils
import time:      9869 |      23071 |   torch.mtia
import time:       409 |        409 |       multiprocessing.util
import time:       306 |        306 |       multiprocessing.resource_sharer
import time:     12105 |      12819 |     torch.multiprocessing.reductions
import time:       496 |        496 |         _multiprocessing
import time:       534 |        534 |         _winapi
import time:      1144 |       2173 |       multiprocessing.connection
import time:       399 |        399 |         concurrent
import time:       649 |        649 |         concurrent.futures._base
import time:       855 |       1902 |       concurrent.futures
import time:       420 |        420 |       concurrent.futures.thread
import time:      9363 |      13857 |     torch.multiprocessing.spawn
import time:     10170 |      36845 |   torch.multiprocessing
import time:     11156 |      11156 |   torch.nested
import time:      8355 |       8355 |       torch.optim.optimizer
import time:     12739 |      21094 |     torch.optim.lr_scheduler
import time:      7571 |       7571 |     torch.optim.swa_utils
import time:      8805 |       8805 |     torch.optim._adafactor
import time:      7708 |       7708 |     torch.optim.adadelta
import time:      6778 |       6778 |     torch.optim.adagrad
import time:      8005 |       8005 |     torch.optim.adam
import time:      8398 |       8398 |     torch.optim.adamax
import time:      8288 |       8288 |     torch.optim.adamw
import time:      9157 |       9157 |     torch.optim.asgd
import time:      7306 |       7306 |     torch.optim.lbfgs
import time:      7574 |       7574 |     torch.optim.nadam
import time:      9579 |       9579 |     torch.optim.radam
import time:      7945 |       7945 |     torch.optim.rmsprop
import time:      7985 |       7985 |     torch.optim.rprop
import time:      6722 |       6722 |     torch.optim.sgd
import time:      7299 |       7299 |       torch.optim._functional
import time:      8214 |      15512 |     torch.optim.sparse_adam
import time:     13677 |     162096 |   torch.optim
import time:       607 |        607 |       gzip
import time:      8573 |       8573 |         torch.profiler._utils
import time:     10107 |      18680 |       torch.profiler._memory_profiler
import time:     12333 |      31618 |     torch.profiler.profiler
import time:      7822 |       7822 |     torch.profiler.itt
import time:     10361 |      49801 |   torch.profiler
import time:      9929 |       9929 |   torch.special
import time:     11205 |      11205 |     torch.xpu._utils
import time:      7444 |       7444 |     torch.xpu.streams
import time:      7538 |       7538 |     torch.xpu.memory
import time:      8071 |       8071 |     torch.xpu.random
import time:     10718 |      44974 |   torch.xpu
import time:     15253 |      15253 |       torch.signal.windows.windows
import time:     20278 |      35530 |     torch.signal.windows
import time:      9379 |      44908 |   torch.signal
import time:      9423 |       9423 |   torch.ao
import time:     17675 |      17675 |       torch.ao.nn
import time:     29002 |      29002 |         torch.ao.nn.intrinsic.modules.fused
import time:     32285 |      61286 |       torch.ao.nn.intrinsic.modules
import time:     23797 |     102757 |     torch.ao.nn.intrinsic
import time:     23989 |      23989 |       torch.nn.intrinsic.modules.fused
import time:     30041 |      54029 |     torch.nn.intrinsic.modules
import time:     28742 |      28742 |                     torch.ao.nn.qat.modules.conv
import time:     18169 |      18169 |                     torch.ao.nn.qat.modules.embedding_ops
import time:     16997 |      16997 |                     torch.ao.nn.qat.modules.linear
import time:     36655 |     100561 |                   torch.ao.nn.qat.modules
import time:     21901 |     122462 |                 torch.ao.nn.qat
import time:     32913 |     155375 |               torch.ao.nn.intrinsic.qat.modules.conv_fused
import time:     20942 |      20942 |               torch.ao.nn.intrinsic.qat.modules.linear_fused
import time:     18093 |      18093 |               torch.ao.nn.intrinsic.qat.modules.linear_relu
import time:     45621 |     240028 |             torch.ao.nn.intrinsic.qat.modules
import time:     28448 |     268476 |           torch.ao.nn.intrinsic.qat
import time:     29897 |     298373 |         torch.nn.intrinsic.qat.modules.conv_fused
import time:     14778 |      14778 |         torch.nn.intrinsic.qat.modules.linear_fused
import time:     17980 |      17980 |         torch.nn.intrinsic.qat.modules.linear_relu
import time:     36132 |     367260 |       torch.nn.intrinsic.qat.modules
import time:     19239 |     386498 |     torch.nn.intrinsic.qat
import time:     33604 |      33604 |                                 torch.ao.nn.quantizable.modules.activation
import time:     18391 |      18391 |                                 torch.ao.nn.quantizable.modules.rnn
import time:     39290 |      91285 |                               torch.ao.nn.quantizable.modules
import time:     20390 |     111674 |                             torch.ao.nn.quantizable
import time:     26375 |      26375 |                             torch.ao.nn.quantized.modules.activation
import time:     15650 |      15650 |                             torch.ao.nn.quantized.modules.batchnorm
import time:     15440 |      15440 |                               torch.ao.nn.quantized.modules.utils
import time:     16028 |      31467 |                             torch.ao.nn.quantized.modules.conv
import time:     14954 |      14954 |                             torch.ao.nn.quantized.modules.dropout
import time:     16577 |      16577 |                             torch.ao.nn.quantized.modules.embedding_ops
import time:     14996 |      14996 |                             torch.ao.nn.quantized.modules.functional_modules
import time:     16403 |      16403 |                             torch.ao.nn.quantized.modules.linear
import time:     16832 |      16832 |                             torch.ao.nn.quantized.modules.normalization
import time:     18559 |      18559 |                             torch.ao.nn.quantized.modules.rnn
import time:     27041 |     310524 |                           torch.ao.nn.quantized.modules
import time:       243 |     310767 |                         torch.ao.nn.quantized.modules.utils
import time:     22862 |     333628 |                       torch.ao.nn.quantized.functional
import time:     16840 |     350468 |                     torch.ao.nn.quantized
import time:     27989 |     378456 |                   torch.ao.nn.intrinsic.quantized.modules.bn_relu
import time:     22749 |      22749 |                   torch.ao.nn.intrinsic.quantized.modules.conv_add
import time:     20587 |      20587 |                   torch.ao.nn.intrinsic.quantized.modules.conv_relu
import time:     19355 |      19355 |                   torch.ao.nn.intrinsic.quantized.modules.linear_relu
import time:     32239 |     473384 |                 torch.ao.nn.intrinsic.quantized.modules
import time:     22819 |     496203 |               torch.ao.nn.intrinsic.quantized
import time:     36239 |      36239 |                       torch.ao.nn.quantized.dynamic.modules.conv
import time:     24987 |      24987 |                       torch.ao.nn.quantized.dynamic.modules.linear
import time:     23750 |      23750 |                       torch.ao.nn.quantized.dynamic.modules.rnn
import time:     44877 |     129851 |                     torch.ao.nn.quantized.dynamic.modules
import time:     26813 |     156664 |                   torch.ao.nn.quantized.dynamic
import time:     36257 |     192920 |                 torch.ao.nn.intrinsic.quantized.dynamic.modules.linear_relu
import time:     54573 |     247493 |               torch.ao.nn.intrinsic.quantized.dynamic.modules
import time:     32301 |     775996 |             torch.ao.nn.intrinsic.quantized.dynamic
import time:     33047 |     809042 |           torch.nn.intrinsic.quantized.dynamic.modules.linear_relu
import time:     45292 |     854334 |         torch.nn.intrinsic.quantized.dynamic.modules
import time:     36996 |     891329 |       torch.nn.intrinsic.quantized.dynamic
import time:     30603 |      30603 |         torch.nn.intrinsic.quantized.modules.bn_relu
import time:     20207 |      20207 |         torch.nn.intrinsic.quantized.modules.conv_relu
import time:     19359 |      19359 |         torch.nn.intrinsic.quantized.modules.linear_relu
import time:     27912 |      98080 |       torch.nn.intrinsic.quantized.modules
import time:     21887 |    1011296 |     torch.nn.intrinsic.quantized
import time:     14959 |    1569537 |   torch.nn.intrinsic
import time:     35262 |      35262 |                   torch.ao.nn.qat.dynamic.modules.linear
import time:     50150 |      85411 |                 torch.ao.nn.qat.dynamic.modules
import time:     31912 |     117322 |               torch.ao.nn.qat.dynamic
import time:       271 |     117593 |             torch.ao.nn.qat.dynamic.modules
import time:       294 |     117887 |           torch.ao.nn.qat.dynamic.modules.linear
import time:     39024 |     156910 |         torch.nn.qat.dynamic.modules.linear
import time:     41143 |     198053 |       torch.nn.qat.dynamic.modules
import time:     35732 |     233785 |     torch.nn.qat.dynamic
import time:     25551 |      25551 |       torch.nn.qat.modules.conv
import time:     18575 |      18575 |       torch.nn.qat.modules.embedding_ops
import time:     16876 |      16876 |       torch.nn.qat.modules.linear
import time:     20886 |      81886 |     torch.nn.qat.modules
import time:     19264 |     334934 |   torch.nn.qat
import time:     33106 |      33106 |     torch.nn.quantizable.modules
import time:     16901 |      50006 |   torch.nn.quantizable
import time:     30218 |      30218 |     torch.nn.quantized.dynamic
import time:     11305 |      11305 |     torch.nn.quantized.functional
import time:     20888 |      20888 |     torch.nn.quantized.modules
import time:     18195 |      80604 |   torch.nn.quantized
import time:      6347 |       6347 |   torch._size_docs
import time:      4702 |       4702 |   torch._storage_docs
import time:      8206 |       8206 |   torch._tensor_docs
import time:     11906 |      11906 |                 torch.ao.quantization.quant_type
import time:      7474 |       7474 |                     torch.fx._compatibility
import time:      8309 |       8309 |                         torch.fx.immutable_collections
import time:      8325 |       8325 |                         torch.fx.operator_schemas
import time:     16574 |      33207 |                       torch.fx.node
import time:      6152 |       6152 |                         torch.return_types
import time:      8270 |      14422 |                       torch.fx._pytree
import time:     13062 |      60690 |                     torch.fx.graph
import time:     13154 |      81317 |                   torch.fx.graph_module
import time:      7153 |       7153 |                     torch.fx._lazy_graph_module
import time:      7643 |       7643 |                       torch.utils._traceback
import time:      8611 |       8611 |                       torch.fx.traceback
import time:     11725 |      27978 |                     torch.fx.proxy
import time:      9666 |      44797 |                   torch.fx._symbolic_trace
import time:      8754 |       8754 |                     torch.fx.config
import time:      8696 |      17450 |                   torch.fx.interpreter
import time:      7963 |       7963 |                   torch.fx.subgraph_rewriter
import time:     11539 |     163063 |                 torch.fx
import time:     11319 |     186287 |               torch.ao.quantization.utils
import time:     13110 |     199396 |             torch.ao.quantization.observer
import time:     17811 |     217207 |           torch.ao.quantization.fake_quantize
import time:     11559 |      11559 |             torch.ao.quantization.fuser_method_mappings
import time:     11353 |      22912 |           torch.ao.quantization.fuse_modules
import time:     18045 |      18045 |             torch.ao.quantization.pt2e
import time:     14306 |      14306 |                 torch.ao.ns
import time:     25428 |      39734 |               torch.ao.ns.fx
import time:     13168 |      13168 |               torch.ao.ns.fx.ns_types
import time:     20159 |      73060 |             torch.ao.ns.fx.utils
import time:     21924 |     113029 |           torch.ao.quantization.pt2e._numeric_debugger
import time:     13370 |      13370 |           torch.ao.quantization.pt2e.export_utils
import time:     11121 |      11121 |           torch.ao.quantization.qconfig
import time:     11601 |      11601 |           torch.ao.quantization.qconfig_mapping
import time:     18701 |      18701 |                   torch.ao.nn.quantized.reference.modules.utils
import time:     29568 |      48268 |                 torch.ao.nn.quantized.reference.modules.conv
import time:     20253 |      20253 |                 torch.ao.nn.quantized.reference.modules.linear
import time:     18972 |      18972 |                 torch.ao.nn.quantized.reference.modules.rnn
import time:     17758 |      17758 |                 torch.ao.nn.quantized.reference.modules.sparse
import time:     40114 |     145364 |               torch.ao.nn.quantized.reference.modules
import time:     22872 |     168236 |             torch.ao.nn.quantized.reference
import time:     14369 |      14369 |                     torch.ao.nn.sparse.quantized.linear
import time:     16441 |      16441 |                     torch.ao.nn.sparse.quantized.utils
import time:     31145 |      61955 |                   torch.ao.nn.sparse.quantized.dynamic.linear
import time:     35013 |      96967 |                 torch.ao.nn.sparse.quantized.dynamic
import time:     28609 |     125576 |               torch.ao.nn.sparse.quantized
import time:     17730 |     143305 |             torch.ao.nn.sparse
import time:     13849 |      13849 |             torch.ao.quantization.stubs
import time:     11721 |     337109 |           torch.ao.quantization.quantization_mappings
import time:     13283 |      13283 |           torch.ao.quantization.quantize
import time:      8361 |       8361 |           torch.ao.quantization.quantize_jit
import time:     17225 |     765214 |         torch.ao.quantization
import time:       556 |     765770 |       torch.ao.quantization.fake_quantize
import time:     13051 |     778820 |     torch.quantization.fake_quantize
import time:      6860 |       6860 |     torch.quantization.fuse_modules
import time:      6774 |       6774 |     torch.quantization.fuser_method_mappings
import time:      8134 |       8134 |     torch.quantization.observer
import time:      8087 |       8087 |     torch.quantization.qconfig
import time:      6923 |       6923 |     torch.quantization.quant_type
import time:      8593 |       8593 |     torch.quantization.quantization_mappings
import time:      8022 |       8022 |     torch.quantization.quantize
import time:      8067 |       8067 |     torch.quantization.quantize_jit
import time:      8660 |       8660 |     torch.quantization.stubs
import time:     14828 |     863763 |   torch.quantization
import time:      7495 |       7495 |   torch.quasirandom
import time:      7161 |       7161 |   torch.multiprocessing._atfork
import time:      5936 |       5936 |   torch._lobpcg
import time:      9306 |       9306 |       torch.masked._docs
import time:     11337 |      11337 |             torch.masked.maskedtensor.core
import time:     19443 |      30780 |           torch.masked.maskedtensor.binary
import time:     11735 |      11735 |           torch.masked.maskedtensor.passthrough
import time:     11823 |      11823 |             torch.masked.maskedtensor.creation
import time:     12279 |      24102 |           torch.masked.maskedtensor.reductions
import time:     14224 |      14224 |           torch.masked.maskedtensor.unary
import time:     15815 |      96655 |         torch.masked.maskedtensor
import time:       372 |      97026 |       torch.masked.maskedtensor.core
import time:     13477 |     119807 |     torch.masked._ops
import time:     10880 |     130686 |   torch.masked
import time:      8887 |       8887 |   torch.utils.dlpack
import time:     10473 |      10473 |                 torch._dispatch
import time:       280 |        280 |                       unittest.util
import time:       528 |        807 |                     unittest.result
import time:      1062 |       1062 |                     unittest.case
import time:       263 |        263 |                     unittest.suite
import time:       460 |        460 |                     unittest.loader
import time:       783 |        783 |                         gettext
import time:      1445 |       2228 |                       argparse
import time:       247 |        247 |                         unittest.signals
import time:      1722 |       1968 |                       unittest.runner
import time:       892 |       5087 |                     unittest.main
import time:      1287 |       8962 |                   unittest
import time:       249 |        249 |                       asyncio.constants
import time:       339 |        339 |                       asyncio.coroutines
import time:       271 |        271 |                         asyncio.format_helpers
import time:       218 |        218 |                           asyncio.base_futures
import time:       313 |        313 |                           asyncio.exceptions
import time:       234 |        234 |                           asyncio.base_tasks
import time:      1735 |       2499 |                         _asyncio
import time:      1028 |       3797 |                       asyncio.events
import time:       483 |        483 |                       asyncio.futures
import time:       158 |        158 |                       asyncio.protocols
import time:       224 |        224 |                         asyncio.transports
import time:       105 |        105 |                         asyncio.log
import time:      1097 |       1425 |                       asyncio.sslproto
import time:       131 |        131 |                           asyncio.mixins
import time:       378 |        378 |                           asyncio.tasks
import time:      1203 |       1711 |                         asyncio.locks
import time:       390 |       2101 |                       asyncio.staggered
import time:       154 |        154 |                       asyncio.trsock
import time:      2966 |      11669 |                     asyncio.base_events
import time:       521 |        521 |                     asyncio.runners
import time:       428 |        428 |                     asyncio.queues
import time:       386 |        386 |                     asyncio.streams
import time:       215 |        215 |                     asyncio.subprocess
import time:       128 |        128 |                     asyncio.taskgroups
import time:       284 |        284 |                     asyncio.timeouts
import time:       179 |        179 |                     asyncio.threads
import time:       422 |        422 |                       asyncio.base_subprocess
import time:       822 |        822 |                       asyncio.selector_events
import time:      2364 |       3606 |                     asyncio.unix_events
import time:      3084 |      20497 |                   asyncio
import time:       663 |        663 |                   pkgutil
import time:      2060 |      32180 |                 unittest.mock
import time:     13644 |      56295 |               torch._dispatch.python
import time:      8933 |       8933 |                 torch.utils.weak
import time:      9060 |      17993 |               torch._guards
import time:      7862 |       7862 |                             torch._logging.structured
import time:     10740 |      18602 |                           torch._logging._internal
import time:     11891 |      30492 |                         torch._logging._registrations
import time:     10192 |      40684 |                       torch._logging
import time:      8292 |       8292 |                       torch.utils._mode_utils
import time:     11878 |      60852 |                     torch._subclasses.meta_utils
import time:      8307 |       8307 |                     torch.utils._backport_slots
import time:      7541 |       7541 |                     torch.utils._stats
import time:     12459 |      12459 |                         torch.fx.experimental
import time:     17712 |      30171 |                       torch.fx.experimental.sym_node
import time:      9917 |      40087 |                     torch._subclasses._fake_tensor_utils
import time:     12124 |      12124 |                       torch._custom_op
import time:     10169 |      22293 |                     torch._subclasses.fake_impls
import time:     18470 |     157547 |                   torch._subclasses.fake_tensor
import time:      9952 |       9952 |                   torch._subclasses.fake_utils
import time:     10555 |     178054 |                 torch._subclasses
import time:       203 |     178256 |               torch._subclasses.meta_utils
import time:     12424 |     264967 |             torch.fx.passes.shape_prop
import time:       631 |        631 |             pydot
import time:     17037 |     282634 |           torch.fx.passes.graph_drawer
import time:     10748 |      10748 |           torch.fx.passes.graph_manipulation
import time:     13129 |      13129 |                   torch.fx.passes.utils.matcher_utils
import time:     18679 |      31808 |                 torch.fx.passes.utils.common
import time:     16458 |      48265 |               torch.fx.passes.utils
import time:     11200 |      11200 |               torch.fx.passes.tools_common
import time:     10610 |      70073 |             torch.fx.passes.split_utils
import time:     11261 |      81334 |           torch.fx.passes.net_min_base
import time:     10165 |      10165 |           torch.fx.passes.operator_support
import time:     10421 |      10421 |           torch.fx.passes.param_fetch
import time:     11863 |      11863 |           torch.fx.passes.reinplace
import time:      7515 |       7515 |             torch.fx._utils
import time:      8318 |       8318 |               torch.utils._thunk
import time:      8679 |       8679 |               torch.fx.experimental._backward_state
import time:     14302 |      31298 |             torch.fx.experimental.proxy_tensor
import time:     11205 |      50016 |           torch.fx.passes.runtime_assert
import time:     10223 |      10223 |           torch.fx.passes.split_module
import time:     11196 |      11196 |           torch.fx.passes.splitter_base
import time:     16187 |     494783 |         torch.fx.passes
import time:     12813 |      12813 |           torch.fx.passes.infra.pass_base
import time:     22039 |      34852 |         torch.fx.passes.infra.pass_manager
import time:     18236 |     547870 |       torch.fx.passes.infra
import time:       260 |     548130 |     torch.fx.passes.infra.pass_base
import time:     10053 |      10053 |                   torch._inductor
import time:      7977 |       7977 |                   torch.utils._config_module
import time:     24946 |      42975 |                 torch._inductor.config
import time:      9789 |       9789 |                   numpy._core
import time:     12403 |      22192 |                 numpy._core._multiarray_umath
import time:     11353 |      76519 |               torch._subclasses.functional_tensor
import time:      8757 |       8757 |               torch._higher_order_ops.utils
import time:     12983 |      98258 |             torch._higher_order_ops.cond
import time:      9703 |       9703 |             torch._higher_order_ops.flex_attention
import time:      9291 |       9291 |             torch._higher_order_ops.hints_wrap
import time:      8291 |       8291 |             torch._higher_order_ops.while_loop
import time:     10332 |     135872 |           torch._higher_order_ops
import time:       270 |     136142 |         torch._higher_order_ops.utils
import time:      9749 |       9749 |             torch.export._tree_utils
import time:     10802 |      10802 |             torch.export.graph_signature
import time:      8906 |       8906 |                   torch._custom_op.autograd
import time:     14392 |      23297 |                 torch._custom_op.impl
import time:      6532 |      29829 |               torch._custom_ops
import time:      8453 |       8453 |               torch._higher_order_ops.strict_mode
import time:     11410 |      49691 |             torch._export.wrappers
import time:     12899 |      83140 |           torch._export
import time:      9740 |      92879 |         torch._export.utils
import time:      8025 |       8025 |         torch._export.verifier
import time:     10633 |     247676 |       torch.export.exported_program
import time:     14445 |     262121 |     torch.export.dynamic_shapes
import time:     13151 |      13151 |               torch._functorch._aot_autograd
import time:     16209 |      29359 |             torch._functorch._aot_autograd.utils
import time:      7793 |      37152 |           torch._higher_order_ops.torchbind
import time:      8127 |      45279 |         torch._higher_order_ops.effects
import time:      7944 |      53223 |       torch.export._remove_effect_tokens_pass
import time:      8598 |      61820 |     torch.export.unflatten
import time:     11179 |     883248 |   torch.export
import time:     10287 |      10287 |       torch.fx.experimental.const_fold
import time:      8778 |      19065 |     torch._functorch.eager_transforms
import time:      7989 |       7989 |     torch._functorch.functional_call
import time:      6398 |       6398 |     torch._functorch.batch_norm_replacement
import time:     11692 |      45143 |   torch.func
import time:      8558 |       8558 |             torch.utils._content_store
import time:     13223 |      21780 |           torch._prims.debug_prims
import time:      7534 |       7534 |           torch._prims.rng_prims
import time:     11176 |      11176 |           torch._prims_common.wrappers
import time:   6997421 |    7037910 |         torch._prims
import time:      8530 |       8530 |         torch._higher_order_ops.out_dtype
import time:     33683 |    7080122 |       torch._decomp.decompositions
import time:     12438 |      12438 |         torch._refs._conversions
import time:     12782 |      12782 |         torch._refs.fft
import time:     13891 |      13891 |         torch._refs.linalg
import time:     14822 |      14822 |           torch._refs.nn
import time:     26926 |      41748 |         torch._refs.nn.functional
import time:     15031 |      15031 |         torch._refs.special
import time:     39188 |     135075 |       torch._refs
import time:     10522 |    7225718 |     torch._decomp
import time:     76336 |    7302053 |   torch._meta_registrations
import time:      9694 |       9694 |   torch.compiler
import time:        85 |         85 |       _csv
import time:      1182 |       1266 |     csv
import time:        51 |         51 |         importlib.metadata._functools
import time:       256 |        306 |       importlib.metadata._text
import time:       342 |        647 |     importlib.metadata._adapters
import time:       202 |        202 |     importlib.metadata._meta
import time:       394 |        394 |     importlib.metadata._collections
import time:       149 |        149 |     importlib.metadata._itertools
import time:       248 |        248 |             importlib.resources.abc
import time:       360 |        360 |             importlib.resources._adapters
import time:       727 |       1333 |           importlib.resources._common
import time:       167 |        167 |           importlib.resources._legacy
import time:       607 |       2106 |         importlib.resources
import time:       204 |       2310 |       importlib.resources.abc
import time:       792 |       3102 |     importlib.abc
import time:      2500 |       8258 |   importlib.metadata
import time:    884541 |   26786473 | torch
