import time: self [us] | cumulative | imported package
import time:      4867 |       4867 |             numpy.core.records
import time:      5734 |       5734 |             numpy.core.memmap
import time:      5791 |       5791 |             numpy.core.function_base
import time:      5108 |       5108 |             numpy.core._machar
import time:      6204 |       6204 |             numpy.core.getlimits
import time:      6445 |       6445 |             numpy.core.einsumfunc
import time:     12115 |      12115 |               numpy.core._multiarray_tests
import time:      8346 |      20460 |             numpy.core._add_newdocs
import time:      5268 |       5268 |             numpy.core._add_newdocs_scalars
import time:      4025 |       4025 |             numpy.core._dtype_ctypes
import time:      5620 |       5620 |             numpy.core._internal
import time:      5754 |       5754 |             numpy._pytesttester
import time:     18518 |     680985 |           numpy.core
import time:       182 |     681166 |         numpy.core._multiarray_umath
import time:      9996 |     691162 |       numpy.__config__
import time:     10319 |      10319 |         numpy.lib.mixins
import time:      9115 |       9115 |             numpy.lib.ufunclike
import time:      9386 |      18500 |           numpy.lib.type_check
import time:     21793 |      40293 |         numpy.lib.scimath
import time:      9032 |       9032 |                     numpy.lib.stride_tricks
import time:      8244 |      17276 |                   numpy.lib.twodim_base
import time:     13089 |      13089 |                   numpy.linalg._umath_linalg
import time:       525 |        525 |                     __future__
import time:     12309 |      12309 |                     numpy._typing._nested_sequence
import time:      7223 |       7223 |                     numpy._typing._nbit
import time:      7758 |       7758 |                     numpy._typing._char_codes
import time:      8046 |       8046 |                     numpy._typing._scalars
import time:      7162 |       7162 |                     numpy._typing._shape
import time:      9152 |       9152 |                     numpy._typing._dtype_like
import time:      8536 |       8536 |                     numpy._typing._array_like
import time:     12684 |      73391 |                   numpy._typing
import time:     14938 |     118692 |                 numpy.linalg.linalg
import time:     12907 |     131599 |               numpy.linalg
import time:     13891 |     145490 |             numpy.matrixlib.defmatrix
import time:     10090 |     155579 |           numpy.matrixlib
import time:      9486 |       9486 |             numpy.lib.histograms
import time:     11289 |      20775 |           numpy.lib.function_base
import time:      9047 |     185400 |         numpy.lib.index_tricks
import time:      9849 |       9849 |         numpy.lib.nanfunctions
import time:      8061 |       8061 |         numpy.lib.shape_base
import time:      9061 |       9061 |         numpy.lib.polynomial
import time:      7705 |       7705 |         numpy.lib.utils
import time:      9149 |       9149 |         numpy.lib.arraysetops
import time:     10742 |      10742 |           numpy.lib.format
import time:      7819 |       7819 |           numpy.lib._datasource
import time:      7494 |       7494 |           numpy.lib._iotools
import time:      8849 |      34903 |         numpy.lib.npyio
import time:      8166 |       8166 |         numpy.lib.arrayterator
import time:      7340 |       7340 |         numpy.lib.arraypad
import time:      9038 |       9038 |         numpy.lib._version
import time:     13498 |     352776 |       numpy.lib
import time:     10105 |      10105 |           numpy.fft._pocketfft_internal
import time:     12436 |      22541 |         numpy.fft._pocketfft
import time:      5089 |       5089 |         numpy.fft.helper
import time:      9857 |      37486 |       numpy.fft
import time:      7355 |       7355 |           numpy.polynomial.polyutils
import time:      9434 |       9434 |           numpy.polynomial._polybase
import time:     15738 |      32526 |         numpy.polynomial.polynomial
import time:      8406 |       8406 |         numpy.polynomial.chebyshev
import time:      9471 |       9471 |         numpy.polynomial.legendre
import time:      9181 |       9181 |         numpy.polynomial.hermite
import time:      8666 |       8666 |         numpy.polynomial.hermite_e
import time:      9400 |       9400 |         numpy.polynomial.laguerre
import time:     11781 |      89430 |       numpy.polynomial
import time:       815 |        815 |                 backports_abc
import time:     35154 |      35969 |               numpy.random._common
import time:        55 |         55 |                   binascii
import time:       965 |       1020 |                 base64
import time:      2732 |       2732 |                   _hashlib
import time:        99 |         99 |                     _blake2
import time:      1012 |       1111 |                   hashlib
import time:      1125 |       4967 |                 hmac
import time:      1029 |       7014 |               secrets
import time:     15498 |      58480 |             numpy.random.bit_generator
import time:     16137 |      16137 |             numpy.random._bounded_integers
import time:      9505 |       9505 |             numpy.random._mt19937
import time:     43269 |     127390 |           numpy.random.mtrand
import time:      8310 |       8310 |           numpy.random._philox
import time:      8635 |       8635 |           numpy.random._pcg64
import time:      7939 |       7939 |           numpy.random._sfc64
import time:     41980 |      41980 |           numpy.random._generator
import time:     12766 |     207017 |         numpy.random._pickle
import time:     11130 |     218146 |       numpy.random
import time:      7104 |       7104 |       numpy.ctypeslib
import time:     19114 |      19114 |         numpy.ma.core
import time:     10250 |      10250 |         numpy.ma.extras
import time:     12052 |      41415 |       numpy.ma
import time:     35411 |    1542315 |     numpy
import time:   8189425 |    9731740 |   torch._C
import time:       667 |        667 |           org
import time:       292 |        959 |         org.python
import time:       205 |       1163 |       org.python.core
import time:       761 |       1923 |     copy
import time:      4835 |       4835 |     torch._namedtensor_internals
import time:      8440 |       8440 |     torch.overrides
import time:      5820 |      21016 |   torch._tensor
import time:      6144 |       6144 |     torch.types
import time:      6465 |      12609 |   torch.storage
import time:     12855 |      12855 |     torch.amp.autocast_mode
import time:      8532 |       8532 |     torch.amp.grad_scaler
import time:     10732 |      32117 |   torch.amp
import time:      5600 |       5600 |   torch.random
import time:        73 |         73 |         _heapq
import time:       992 |       1064 |       heapq
import time:      1747 |       2811 |     difflib
import time:        61 |         61 |       pwd
import time:        58 |         58 |       grp
import time:      3154 |       3272 |     tarfile
import time:      5668 |       5668 |     torch._weights_only_unpickler
import time:      6189 |       6189 |     torch._sources
import time:       873 |        873 |     mmap
import time:      7050 |      25859 |   torch.serialization
import time:       885 |        885 |     dataclasses
import time:      5488 |       6373 |   torch._tensor_str
import time:     14178 |      14178 |     torch.cuda.gds
import time:      7048 |       7048 |     torch.cuda._utils
import time:      9018 |       9018 |     torch.cuda.graphs
import time:      4519 |       4519 |       torch._streambase
import time:      8570 |      13088 |     torch.cuda.streams
import time:       805 |        805 |     pynvml
import time:       531 |        531 |               _json
import time:       653 |       1184 |             json.scanner
import time:       622 |       1806 |           json.decoder
import time:       287 |        287 |           json.encoder
import time:       935 |       3027 |         json
import time:      7651 |      10677 |       torch.cuda._memory_viz
import time:      7638 |      18315 |     torch.cuda.memory
import time:      8214 |       8214 |     torch.cuda.random
import time:     16433 |      16433 |       torch.cuda.amp.autocast_mode
import time:       472 |        472 |           importlib._abc
import time:       669 |       1141 |         importlib.util
import time:     10007 |      11147 |       torch.cuda.amp.common
import time:     10669 |      10669 |       torch.cuda.amp.grad_scaler
import time:     15473 |      53720 |     torch.cuda.amp
import time:      7402 |       7402 |     torch.cuda.jiterator
import time:      8301 |       8301 |     torch.cuda.nvtx
import time:      9637 |       9637 |     torch.cuda.profiler
import time:      8018 |       8018 |     torch.cuda.sparse
import time:      7222 |       7222 |     torch.cuda.tunable
import time:     33172 |     198133 |   torch.cuda
import time:      8371 |       8371 |       torch.sparse._semi_structured_conversions
import time:      8233 |       8233 |       torch.sparse._semi_structured_ops
import time:     13618 |      30221 |     torch.sparse.semi_structured
import time:      9679 |      39899 |   torch.sparse
